mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2365.027,28.833,0.39,9330.028,803.6,2597.516,452.121,39.99,4.007,1.021,0.432,0.796,0.134,7.516,5,2.157,3,-1.853
2460.551,32.377,0.389,8147.111,809.509,2506.031,426.883,40.997,4.082,0.986,0.441,0.831,0.165,6.849,9,2.537,3.6,-1.678
2461.522,33.303,0.389,8150.099,807.722,2562.336,451.999,41.141,4.094,0.986,0.42,0.808,0.161,7.283,6,1.985,3.4,-1.574
2416.716,32.364,0.389,8823.121,803.631,2546.176,451.284,39.964,4.461,0.962,0.403,0.831,0.151,7.185,7,2.312,3.4,-1.651
2405.801,32.375,0.389,8148.998,831.945,2534.092,428.019,40.997,4.093,0.998,0.401,0.836,0.155,7.178,9,2.257,3.4,-1.742
2499.18,44.613,0.39,8703.584,783.755,2502.772,450.775,39.273,4.006,0.986,0.432,0.802,0.487,6.058,7,2.704,3.6,-1.416
2499.733,28.636,0.39,9365.336,803.6,2505.569,452.858,38.811,4.016,1.02,0.395,0.801,0.179,6.62,4,2.804,3.6,-1.818
2499.18,44.613,0.39,8598.999,783.755,2500.516,477.123,37.91,3.732,0.986,0.46,0.807,0.487,6.056,10,2.798,3.8,-1.413
2499.168,36.998,0.39,8727.976,793.962,2506.621,451.701,38.876,4.114,1.022,0.4,0.802,0.233,6.614,5,2.366,3.8,-1.526
2499.639,35.039,0.39,9370.853,803.437,2505.483,443.666,38.876,3.911,1.028,0.402,0.808,0.179,6.437,6,2.837,3.6,-1.676
2499.19,37.359,0.39,8709.777,801.851,2505.152,437.915,38.876,4.114,0.985,0.435,0.808,0.245,6.367,7,2.702,3.6,-1.526
2416.353,28.836,0.354,8801.7,809.657,2581.751,451.744,39.964,4.011,0.988,0.393,0.789,0.14,8.452,3,1.428,2.8,-1.64
2486.543,53.49,0.39,8867.368,805.463,2508.856,451.951,38.81,4.113,1.028,0.402,0.802,0.783,5.979,5,2.595,3.6,-1.327
2418.181,28.705,0.352,9310.497,805.733,2572.076,451.701,40.135,4.114,0.985,0.39,0.802,0.143,8.067,3,1.807,2.8,-1.758
2499.174,51.505,0.39,8719.297,803.491,2505.144,451.029,38.876,4.005,1.031,0.396,0.802,0.717,6.019,5,2.335,3.8,-1.203
2460.916,28.446,0.39,9366.727,803.6,2506.047,452.858,38.811,4.016,1.019,0.43,0.802,0.165,6.927,4,2.547,3.6,-1.864
2463.066,33.303,0.39,8150.099,807.722,2510.14,451.947,41.093,4.094,0.985,0.42,0.808,0.163,7.078,6,2.204,3.4,-1.653
2405.692,33.288,0.389,8742.498,800.708,2597.318,452.047,39.386,4.008,0.984,0.401,0.796,0.135,7.375,5,2.183,3,-1.702
2414.136,28.64,0.354,9342.459,809.657,2521.117,452.832,38.798,4.016,0.988,0.394,0.789,0.16,8.061,3,1.781,3,-1.815
2470.928,52.319,0.39,8239.398,802.431,2507.535,451.461,44.931,4.008,1.033,0.425,0.794,0.744,5.783,5,2.713,3.8,-1.313
2467.327,39.806,0.39,7541.411,644.563,2509.202,509.235,43.973,3.908,0.808,0.429,0.795,0.327,6.468,9,2.46,3.8,-1.396
2471.013,28.583,0.39,8236.878,802.374,2502.561,451.467,39.708,4.065,1.034,0.425,0.799,0.166,6.852,3,2.596,3.6,-1.808
2396.91,29.387,0.39,8256.358,800.847,2614.828,447.342,39.629,3.909,0.99,0.405,0.784,0.131,7.734,3,1.718,3.2,-1.607
2477.299,48.653,0.39,8310.535,800.751,2502.673,452.795,39.702,4.065,0.979,0.407,0.787,0.622,6.257,4,2.086,3.6,-1.288
2477.297,48.508,0.39,8253.193,806.58,2502.432,490.58,47.907,3.913,1.033,0.425,0.798,0.617,5.817,6,2.787,3.8,-1.416
2464.029,35.295,0.39,8299.01,742.803,2501.18,509.292,44.468,3.915,0.805,0.428,0.795,0.195,6.544,8,2.628,3.6,-1.656
2485.827,46.367,0.39,7680.337,649.786,2505.396,453.582,45.002,3.907,1.021,0.407,0.795,0.546,5.928,8,2.706,3.8,-1.424
2423.103,30.357,0.39,7477.375,761.971,2590.86,427.053,44.044,3.891,1.032,0.429,0.794,0.143,7.364,7,2.127,3.4,-1.684
2464.029,39.933,0.39,7353.746,742.803,2509.222,509.292,44.468,3.909,0.805,0.428,0.795,0.331,6.335,9,2.335,3.8,-1.396
2464.029,42.935,0.39,8299.01,740.088,2501.179,509.292,48.025,3.915,0.797,0.428,0.795,0.431,6.396,8,2.191,3.6,-1.387
