max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5052.906,0.134,1.254,0.32,0.306,9.977,2274.11,0.288,3.398,0.244,36.245,1633.911,0.388,-7.021,8,0.0,0.0,4.966
5851.456,0.15,1.688,0.344,0.31,9.992,2258.394,0.294,3.563,0.244,35.968,1348.712,0.38,-6.459,6,0.0,0.0,2.475
5805.726,0.153,1.28,0.346,0.502,9.972,2280.039,0.294,3.437,0.238,35.474,1585.269,0.36,-6.253,4,0.0,0.0,2.569
5797.863,0.15,1.949,0.348,0.493,9.972,2342.647,0.288,3.563,0.252,35.474,1587.135,0.058,-6.048,2,0.0,0.0,5.874
5307.444,0.152,1.064,0.349,0.303,10.116,2278.417,0.293,3.494,0.244,35.949,1569.267,0.468,-6.864,6,0.0,0.0,6.124
5913.666,0.109,1.814,0.302,0.364,10.007,2352.05,0.289,3.56,0.248,35.474,1598.189,0.273,-6.416,7,0.0,0.0,3.435
5714.997,0.157,1.983,0.35,0.497,10.12,2315.57,0.307,3.464,0.244,35.51,1567.684,0.047,-5.877,3,0.0,0.0,1.726
5806.252,0.153,1.28,0.328,0.484,9.972,2281.729,0.294,2.315,0.238,35.474,1585.269,0.36,-6.259,6,0.0,0.0,2.304
5697.988,0.15,2.026,0.333,0.317,9.978,2289.797,0.288,3.463,0.244,35.981,1567.421,0.366,-6.278,6,0.0,0.0,2.038
6327.542,0.109,1.251,0.296,0.312,8.11,2279.809,0.312,3.449,0.244,36.245,1632.348,0.376,-6.972,9,0.0,0.0,2.301
5714.997,0.15,1.983,0.35,0.497,10.12,2315.57,0.307,3.367,0.244,35.51,1567.412,0.045,-5.371,4,0.0,0.0,4.832
5798.367,0.15,1.971,0.337,0.501,10.12,2365.158,0.305,3.463,0.253,35.51,1567.714,0.045,-4.512,2,0.0,0.0,2.154
6027.89,0.152,1.064,0.328,0.303,10.116,2255.856,0.293,3.494,0.244,36.237,1569.267,0.468,-6.958,7,0.0,0.0,2.488
5714.134,0.15,1.948,0.35,0.493,9.973,2342.647,0.288,3.563,0.252,35.512,1544.287,0.04,-0.005,3,0.0,0.0,4.004
5799.483,0.153,1.262,0.348,0.363,9.973,2342.647,0.288,3.563,0.253,35.474,1587.135,0.369,-6.394,4,0.0,0.0,4.024
5795.248,0.15,1.984,0.337,0.501,10.121,2279.983,0.306,3.462,0.253,35.768,1537.518,0.052,-6.034,3,0.0,0.0,1.474
5797.899,0.157,1.982,0.35,0.497,10.121,2283.019,0.307,3.497,0.252,35.299,1567.684,0.05,-6.014,2,0.0,0.0,2.639
5065.369,0.153,1.963,0.35,0.511,10.15,2445.812,0.321,3.608,0.247,36.291,1575.964,0.127,-6.091,4,0.0,0.0,5.686
5867.621,0.121,1.319,0.341,0.362,10.826,2348.831,0.268,3.478,0.249,36.411,1223.03,0.341,-6.716,9,0.0,0.0,4.75
5697.554,0.153,1.818,0.338,0.506,10.565,2319.885,0.324,3.576,0.249,36.914,1574.19,0.091,-6.036,7,0.0,0.0,2.047
6215.502,0.121,1.955,0.341,0.378,10.127,2348.831,0.319,3.474,0.259,35.955,1244.508,0.244,-6.188,7,0.0,0.0,2.095
6186.56,0.121,1.444,0.341,0.363,10.127,2348.831,0.321,3.474,0.26,36.804,1244.456,0.278,-6.633,8,0.0,0.0,1.159
5819.515,0.153,1.983,0.35,0.513,10.251,2233.946,0.308,3.67,0.258,35.965,1550.51,0.071,-5.986,6,0.0,0.0,2.103
5866.799,0.155,1.958,0.341,0.362,10.147,2406.07,0.321,3.495,0.249,35.668,1221.303,0.276,-6.051,3,0.0,0.0,5.279
5068.125,0.12,1.511,0.341,0.378,10.122,2348.831,0.318,3.474,0.25,36.409,1244.18,0.245,-6.543,7,0.0,0.0,2.161
5580.784,0.148,1.427,0.337,0.363,10.138,2318.772,0.323,3.481,0.249,36.939,1519.386,0.286,-6.681,6,0.0,0.0,2.185
5867.621,0.12,1.29,0.341,0.362,10.826,2346.459,0.268,3.719,0.293,36.411,1223.03,0.355,-6.798,11,0.0,0.0,2.245
5866.799,0.156,1.958,0.341,0.363,10.147,2406.416,0.321,3.496,0.249,35.676,1221.303,0.274,-6.012,3,0.0,0.0,1.943
5744.458,0.153,2.0,0.345,0.507,10.124,2403.351,0.307,3.58,0.249,35.582,1499.954,0.023,-5.065,1,0.0,0.0,3.545
5867.621,0.121,1.306,0.34,0.362,10.826,2326.708,0.32,3.477,0.249,36.406,1209.424,0.347,-6.75,8,0.0,0.0,1.25
5744.458,0.153,1.999,0.341,0.511,10.127,2348.707,0.32,3.58,0.241,35.953,1499.954,0.067,-5.949,4,0.0,0.0,2.029
5744.458,0.153,2.0,0.345,0.507,10.124,2403.341,0.307,3.585,0.251,35.582,1499.954,0.024,-5.442,1,0.0,0.0,0.176
5867.621,0.121,1.306,0.34,0.363,10.086,2326.708,0.308,3.571,0.249,36.39,1209.424,0.347,-6.719,7,0.0,0.0,4.031
5867.541,0.121,1.986,0.341,0.378,10.133,2348.831,0.319,3.725,0.26,36.007,1244.508,0.244,-6.225,8,0.0,0.0,2.044
4975.595,0.155,1.507,0.341,0.363,10.13,2405.986,0.319,3.474,0.25,36.101,1221.197,0.274,-6.307,5,0.0,0.0,2.121
5566.409,0.153,1.428,0.345,0.507,10.124,2400.743,0.307,3.476,0.251,35.621,1499.954,0.286,-6.069,2,0.0,0.0,5.072
5678.366,0.153,2.0,0.345,0.509,10.116,2395.304,0.308,3.58,0.249,35.582,1499.954,0.027,-5.754,1,0.0,0.0,4.817
4751.428,0.121,1.48,0.34,0.365,10.124,2403.385,0.307,3.587,0.25,36.379,1289.693,0.27,-6.405,6,0.0,0.0,1.803
