max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5595.478,0.16,1.945,0.337,0.407,11.528,2637.244,0.306,3.149,0.267,35.556,1419.01,0.186,-2.641,8,0.0,0.0,1.759
5780.558,0.153,2.238,0.36,0.31,10.293,2279.12,0.467,3.388,0.241,35.42,1248.791,0.557,-3.991,7,0.0,0.0,1.97
6935.597,0.154,2.303,0.303,0.512,10.378,2299.668,0.296,3.123,0.229,35.885,1628.641,0.196,-5.045,9,0.0,0.0,3.311
5533.363,0.198,1.306,0.361,0.394,8.645,2201.636,0.409,1.486,0.235,36.622,1348.299,0.575,-6.762,11,0.0,0.0,0.783
6171.903,0.139,1.71,0.287,0.348,9.743,2065.08,0.235,2.621,0.222,35.626,1223.206,0.304,-6.379,11,0.0,0.0,4.671
5146.353,0.142,1.505,0.344,0.576,9.962,2360.461,0.367,3.406,0.245,36.415,1373.252,0.248,-3.835,8,0.0,0.0,3.383
5630.755,0.111,1.224,0.279,0.301,10.147,2191.217,0.344,2.252,0.268,35.608,1316.921,0.398,-6.379,10,0.0,0.0,2.666
5283.59,0.144,1.132,0.283,0.508,10.928,2164.159,0.442,3.395,0.272,36.152,1427.627,0.473,-6.31,9,0.0,0.0,2.999
5657.762,0.157,1.941,0.336,0.391,11.279,2366.472,0.278,3.349,0.207,35.807,1512.194,0.218,-3.873,8,0.0,0.0,3.55
5762.116,0.143,2.75,0.341,0.321,11.743,2541.005,0.261,3.54,0.251,35.411,1216.457,0.375,1.326,7,0.144,0.3,2.404
4909.96,0.145,2.221,0.362,0.49,10.778,2194.606,0.264,3.547,0.255,32.439,1382.508,0.153,6.008,7,0.0,0.0,2.756
6242.289,0.112,1.983,0.335,0.378,8.251,2097.923,0.223,3.403,0.287,35.624,1418.054,0.257,-4.993,8,0.0,0.0,1.771
4956.784,0.143,1.324,0.34,0.507,10.225,2350.191,0.223,3.301,0.279,35.439,1358.218,0.338,-5.573,8,0.0,0.0,6.559
5721.205,0.16,2.818,0.358,0.519,8.529,2149.025,0.388,3.54,0.287,35.371,1507.457,0.409,1.117,7,0.168,0.3,4.126
4794.454,0.148,1.946,0.325,0.301,11.554,2372.383,0.265,3.563,0.265,35.784,1335.098,0.398,-6.191,9,0.0,0.0,2.389
5168.033,0.142,1.132,0.286,0.494,10.093,2117.939,0.39,2.857,0.234,35.734,1510.106,0.434,-6.394,10,0.0,0.0,3.184
5348.085,0.172,1.195,0.23,0.309,11.089,2067.502,0.387,1.098,0.203,35.608,1458.952,0.686,-7.134,11,0.0,0.0,4.238
5368.712,0.162,1.472,0.287,0.391,10.692,2269.732,0.296,2.676,0.256,36.516,1399.759,0.264,-6.379,10,0.0,0.0,2.147
6786.263,0.153,2.249,0.298,0.479,8.474,2562.155,0.288,2.617,0.254,35.654,1617.711,0.252,1.582,7,0.123,0.25,3.554
5051.91,0.128,1.297,0.342,0.538,8.143,2224.132,0.325,2.804,0.279,35.361,1507.906,0.352,-5.691,9,0.0,0.0,2.542
6469.956,0.133,1.066,0.334,0.498,11.381,2401.567,0.303,3.72,0.244,35.589,1426.279,0.467,-5.038,7,0.0,0.0,2.516
5515.057,0.145,1.605,0.323,0.523,8.307,2253.915,0.305,2.626,0.24,35.918,1260.069,0.25,-5.529,9,0.0,0.0,0.915
6151.819,0.101,1.124,0.236,0.342,8.625,2174.741,0.322,2.329,0.209,35.598,1214.498,0.438,-6.771,10,0.0,0.0,5.218
5628.222,0.129,1.623,0.301,0.549,9.796,2199.807,0.305,3.834,0.241,35.46,1272.495,0.189,-6.097,10,0.0,0.0,3.071
5225.241,0.105,1.381,0.391,0.337,8.514,2069.033,0.201,3.172,0.247,36.436,1332.794,0.33,-6.955,11,0.0,0.0,4.757
5300.554,0.157,2.008,0.324,0.497,8.155,2550.345,0.306,2.973,0.255,35.214,1476.865,0.185,2.188,7,0.022,0.1,3.608
5199.628,0.156,2.106,0.397,0.532,11.152,2612.394,0.298,3.488,0.255,35.998,1645.724,0.134,-2.384,8,0.0,0.0,2.757
6378.801,0.164,1.446,0.365,0.393,8.187,2133.383,0.249,3.42,0.222,36.6,1553.842,0.277,-6.478,10,0.0,0.0,2.44
6737.301,0.183,1.502,0.263,0.323,10.61,2120.112,0.416,3.313,0.244,35.59,1201.116,0.387,-6.548,10,0.0,0.0,3.222
5273.711,0.171,1.051,0.326,0.438,9.913,2069.615,0.3,3.005,0.242,36.22,1283.735,0.475,-6.63,10,0.0,0.0,4.532
4968.382,0.115,1.325,0.212,0.35,9.764,2054.036,0.395,1.945,0.221,36.346,1391.815,0.444,-6.706,12,0.0,0.0,1.08
5234.831,0.15,1.71,0.354,0.515,9.894,2406.344,0.271,3.464,0.221,33.751,1336.536,0.145,6.997,6,0.0,0.0,3.378
5028.458,0.106,1.355,0.353,0.306,8.206,2118.488,0.271,2.685,0.267,35.926,1363.0,0.388,-6.69,11,0.0,0.0,1.437
4871.198,0.173,2.009,0.3,0.411,8.34,2643.763,0.355,2.921,0.243,36.654,1518.017,0.183,-2.95,10,0.0,0.0,1.808
5361.827,0.137,1.764,0.363,0.499,10.325,2643.528,0.313,3.666,0.22,33.163,1279.259,0.147,2.166,9,0.064,0.15,2.33
6611.354,0.118,1.311,0.254,0.318,10.889,2357.677,0.328,2.814,0.283,35.947,1588.412,0.364,-6.558,12,0.0,0.0,2.188
6750.448,0.133,2.018,0.345,0.434,8.797,2644.941,0.318,3.888,0.253,35.562,1216.687,0.189,-2.465,7,0.0,0.0,2.566
5475.893,0.161,1.927,0.4,0.403,11.595,2404.014,0.313,3.692,0.261,35.897,1202.475,0.198,-6.034,9,0.0,0.0,1.008
5297.241,0.13,1.944,0.327,0.482,8.273,2190.111,0.228,3.392,0.227,35.52,1481.328,0.24,-5.819,8,0.0,0.0,1.252
5728.872,0.157,2.244,0.35,0.488,9.878,2582.476,0.425,1.07,0.297,35.55,1312.48,0.694,-3.496,7,0.0,0.0,3.106
5400.178,0.16,1.062,0.397,0.31,10.16,2117.657,0.484,2.829,0.289,36.195,1270.716,0.613,-6.945,12,0.0,0.0,6.799
5303.761,0.143,1.528,0.29,0.372,9.626,2194.768,0.292,1.304,0.287,36.103,1408.478,0.627,-6.793,10,0.0,0.0,1.595
