max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4722.602,0.125,1.381,0.342,0.383,9.826,2691.872,0.336,3.119,0.268,33.509,1496.637,0.309,2.148,10.0,0.578,1.45,4.736
6699.63,0.153,1.634,0.397,0.463,11.422,2668.437,0.348,3.358,0.284,33.141,1375.613,0.183,2.187,11.0,0.567,1.4,4.96
6856.916,0.179,1.269,0.35,0.397,10.089,2495.81,0.24,3.167,0.257,34.332,1526.994,0.366,1.901,9.0,0.699,1.45,5.067
5959.577,0.107,1.599,0.308,0.426,10.656,2397.943,0.286,1.137,0.256,35.399,1356.983,0.675,2.014,8.0,0.654,1.4,4.946
5829.14,0.147,2.214,0.378,0.565,9.262,2537.484,0.275,3.754,0.277,33.95,1337.631,0.13,2.554,11.0,0.442,1.2,5.172
5038.82,0.137,1.977,0.345,0.553,9.887,2406.892,0.323,2.072,0.292,34.887,1500.611,0.408,3.154,6.0,0.313,1.05,5.761
6105.14,0.151,1.53,0.244,0.455,11.863,2357.784,0.292,3.5,0.205,36.944,1386.326,0.303,2.179,9.0,0.618,1.45,5.234
5502.211,0.188,1.062,0.261,0.508,10.737,2607.963,0.278,1.247,0.251,32.218,1632.13,0.644,1.886,9.0,0.698,1.4,5.368
4320.793,0.156,1.19,0.238,0.464,9.921,2089.746,0.295,3.433,0.252,32.008,1242.21,0.405,2.325,7.0,0.491,1.45,5.106
5398.719,0.115,1.382,0.335,0.511,9.921,2399.321,0.29,3.598,0.288,32.127,1628.241,0.309,3.17,6.0,0.345,1.05,6.478
4600.696,0.165,2.027,0.367,0.594,8.472,2605.343,0.262,3.008,0.206,32.616,1325.966,0.207,2.014,11.0,0.59,1.4,4.551
4805.304,0.135,1.785,0.355,0.396,8.315,2475.019,0.308,3.9,0.278,36.595,1275.22,0.208,2.357,10.0,0.528,1.4,4.853
6879.594,0.159,2.155,0.382,0.444,9.829,2508.544,0.294,3.242,0.269,33.87,1272.62,0.186,2.171,11.0,0.574,1.35,5.213
6495.141,0.146,1.267,0.254,0.487,9.496,2206.601,0.428,2.485,0.248,35.43,1381.516,0.427,2.079,8.0,0.652,1.45,5.251
6957.139,0.171,1.985,0.346,0.381,11.689,2621.016,0.368,2.77,0.284,34.092,1305.5,0.238,2.257,10.0,0.537,1.4,4.783
6006.001,0.137,1.108,0.215,0.315,8.421,2545.996,0.489,1.15,0.271,32.862,1233.024,0.671,0.705,12.0,1.296,1.85,4.187
4265.446,0.163,1.824,0.342,0.329,8.893,2698.299,0.379,1.977,0.238,33.064,1207.748,0.435,1.457,11.0,0.843,1.65,4.261
6200.744,0.1,1.075,0.208,0.358,9.091,2555.804,0.448,2.602,0.255,32.671,1335.38,0.493,1.428,11.0,0.914,1.65,4.435
6006.865,0.156,2.012,0.381,0.492,11.504,2412.181,0.401,3.364,0.253,36.481,1437.685,0.337,2.761,7.0,0.401,1.2,5.295
5801.267,0.172,1.341,0.23,0.402,11.462,2587.771,0.321,3.61,0.23,34.043,1554.917,0.343,2.066,9.0,0.635,1.4,5.185
5716.744,0.146,1.418,0.311,0.515,10.012,2133.644,0.28,3.676,0.263,33.828,1495.683,0.291,2.823,7.0,0.405,1.2,5.639
6225.267,0.154,2.221,0.322,0.568,10.657,2595.794,0.486,1.088,0.206,32.125,1217.375,0.689,0.801,11.0,1.23,1.9,4.211
6594.701,0.154,2.208,0.392,0.452,8.683,2268.134,0.263,3.591,0.252,34.84,1271.562,0.152,2.912,9.0,0.356,1.15,5.396
6339.261,0.143,1.37,0.379,0.432,11.644,2611.915,0.321,2.615,0.226,34.059,1285.936,0.315,1.665,10.0,0.773,1.55,4.559
