max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5931.709,0.149,1.23,0.353,0.366,9.869,2648.573,0.257,3.364,0.25,33.862,1215.239,0.385,1.291,8,0.956,1.7
5804.633,0.152,2.015,0.346,0.48,9.862,2597.288,0.302,3.535,0.249,32.255,1372.595,0.091,2.306,3,0.49,1.35
5794.618,0.149,1.398,0.344,0.362,9.862,2641.04,0.253,3.479,0.264,32.101,1205.762,0.301,1.577,7,0.811,1.6
5792.252,0.149,1.393,0.344,0.364,9.869,2633.899,0.319,3.479,0.254,32.101,1205.643,0.303,1.508,5,0.841,1.65
5805.995,0.149,2.008,0.347,0.48,9.863,2660.023,0.303,1.467,0.245,32.496,1204.834,0.581,1.049,4,1.073,1.8
5788.054,0.154,1.974,0.346,0.48,9.863,2695.03,0.303,3.602,0.253,32.167,1224.212,0.184,1.73,3,0.71,1.55
5421.47,0.153,1.366,0.35,0.357,10.994,2688.706,0.29,3.567,0.257,32.776,1208.802,0.317,1.338,7,0.918,1.7
5657.83,0.152,2.086,0.338,0.489,9.663,2396.397,0.314,3.407,0.25,33.819,1459.264,0.047,2.988,5,0.344,1.1
5380.943,0.125,1.427,0.35,0.357,11.422,2661.55,0.314,2.533,0.245,32.596,1200.689,0.286,1.412,9,0.879,1.7
5813.938,0.152,2.021,0.35,0.489,9.899,2409.85,0.312,3.566,0.256,32.491,1421.56,0.085,3.206,2,0.323,1
5807.671,0.156,1.987,0.358,0.492,9.878,2408.122,0.31,3.543,0.25,33.79,1214.53,0.19,2.604,2,0.435,1.25
5730.419,0.152,2.03,0.345,0.42,11.048,2666.427,0.312,3.542,0.249,32.517,1202.251,0.198,1.459,6,0.847,1.65
5805.802,0.152,2.021,0.358,0.485,9.685,2378.356,0.31,3.541,0.25,32.78,1456.942,0.077,2.741,4,0.415,1.15
5654.989,0.151,2.022,0.35,0.485,9.897,2403.345,0.314,3.409,0.25,33.813,1453.351,0.048,2.812,3,0.393,1.15
5650.795,0.143,2.022,0.35,0.469,9.354,2501.605,0.302,3.402,0.256,33.925,1419.744,0.065,2.621,6,0.437,1.25
5650.795,0.143,2.086,0.35,0.469,9.463,2501.605,0.302,3.402,0.259,33.89,1581.247,0.062,2.811,8,0.4,1.15
5489.627,0.152,1.414,0.347,0.355,9.882,2643.441,0.314,3.488,0.257,32.493,1203.508,0.293,1.423,6,0.875,1.65
5807.385,0.143,2.028,0.358,0.488,9.915,2698.381,0.31,3.559,0.25,32.759,1208.326,0.194,1.927,3,0.617,1.5
5658.614,0.153,2.048,0.338,0.466,9.412,2603.095,0.312,3.844,0.265,32.424,1343.386,0.104,2.047,8,0.592,1.45
5489.627,0.152,1.984,0.35,0.489,9.882,2688.706,0.314,3.473,0.257,32.493,1203.508,0.198,1.71,4,0.717,1.55
5489.627,0.152,2.055,0.35,0.424,9.865,2688.706,0.314,3.443,0.257,32.493,1203.508,0.198,1.521,5,0.814,1.65
5430.181,0.152,2.038,0.351,0.466,9.431,2498.852,0.301,3.595,0.274,32.052,1347.743,0.102,2.062,7,0.592,1.45
5422.071,0.144,2.051,0.358,0.484,9.416,2685.463,0.312,3.474,0.256,32.23,1242.072,0.172,1.789,5,0.681,1.5
5639.035,0.144,2.052,0.35,0.424,8.965,2694.837,0.316,3.346,0.248,32.239,1272.83,0.152,1.649,7,0.754,1.6
5325.024,0.153,2.052,0.355,0.486,9.079,2442.584,0.312,3.554,0.249,32.325,1372.642,0.092,2.315,5,0.498,1.35
5601.436,0.153,2.069,0.355,0.465,9.429,2408.037,0.286,3.415,0.253,32.623,1362.912,0.091,2.465,5,0.473,1.3
5504.213,0.156,2.052,0.358,0.466,9.881,2396.68,0.312,3.762,0.256,32.034,1297.621,0.135,1.983,5,0.626,1.5
5630.608,0.144,2.039,0.362,0.466,11.158,2433.318,0.312,3.553,0.245,31.786,1323.405,0.118,2.066,6,0.59,1.45
5489.627,0.152,1.97,0.358,0.489,9.899,2411.842,0.312,3.566,0.256,32.043,1349.832,0.1,2.221,3,0.535,1.4
5487.315,0.152,1.984,0.35,0.485,9.733,2688.706,0.314,3.473,0.257,32.493,1224.583,0.184,1.741,5,0.702,1.55
5607.728,0.154,2.109,0.349,0.466,11.121,2396.451,0.289,3.613,0.247,32.452,1301.434,0.132,2.049,6,0.596,1.5
5637.926,0.151,2.039,0.351,0.5,9.92,2685.031,0.312,3.476,0.252,32.055,1274.852,0.15,2.121,4,0.546,1.4
5597.465,0.153,1.98,0.371,0.485,9.822,2456.03,0.29,3.424,0.244,32.443,1383.572,0.086,2.282,6,0.511,1.35
5531.44,0.144,1.38,0.345,0.36,11.016,2689.333,0.29,3.559,0.257,32.76,1212.545,0.31,1.348,7,0.909,1.7
5455.719,0.144,1.39,0.345,0.36,11.16,2690.249,0.315,3.559,0.253,32.619,1205.76,0.305,1.372,7,0.9,1.7
5607.636,0.154,2.162,0.347,0.466,11.091,2503.64,0.312,3.602,0.244,32.424,1332.341,0.112,1.817,7,0.694,1.5
5713.37,0.153,2.048,0.352,0.486,9.15,2395.442,0.322,3.443,0.25,32.519,1365.852,0.089,2.538,4,0.415,1.3
5619.932,0.144,2.039,0.362,0.466,9.457,2414.051,0.298,3.553,0.245,31.786,1376.034,0.105,2.177,5,0.55,1.4
5637.926,0.151,2.006,0.35,0.5,9.913,2685.031,0.312,3.477,0.244,32.23,1273.794,0.151,1.885,4,0.64,1.5
5462.248,0.155,1.405,0.356,0.35,10.714,2688.706,0.315,3.518,0.253,32.619,1206.188,0.3,1.394,7,0.889,1.7
5602.029,0.153,2.048,0.35,0.477,9.452,2395.442,0.312,3.473,0.247,32.567,1375.963,0.083,2.555,4,0.411,1.3
5601.918,0.153,2.021,0.349,0.42,9.412,2677.243,0.313,3.425,0.243,32.442,1223.722,0.184,1.573,6,0.788,1.6
5426.844,0.152,2.039,0.363,0.466,8.91,2398.027,0.312,3.544,0.252,32.052,1347.743,0.109,2.126,5,0.57,1.4
5638.652,0.153,2.005,0.34,0.484,9.109,2698.494,0.31,3.475,0.25,32.47,1273.703,0.151,1.839,5,0.662,1.5
5637.926,0.151,2.038,0.345,0.419,9.92,2685.031,0.315,3.425,0.251,32.061,1222.37,0.185,1.54,5,0.802,1.6
5637.926,0.153,2.006,0.35,0.5,9.909,2679.568,0.312,3.477,0.244,32.231,1299.611,0.134,2.149,4,0.54,1.4
5426.844,0.152,2.038,0.363,0.466,9.431,2410.54,0.312,3.593,0.274,32.052,1347.743,0.102,2.114,6,0.576,1.4
5750.923,0.144,2.052,0.35,0.424,9.07,2688.113,0.316,3.443,0.248,32.239,1272.83,0.152,1.707,6,0.723,1.55
5462.248,0.155,1.405,0.356,0.357,10.714,2688.706,0.315,3.518,0.253,32.619,1206.188,0.297,1.403,7,0.884,1.7
5655.515,0.152,1.986,0.35,0.465,9.569,2407.924,0.317,3.407,0.25,32.579,1478.39,0.082,2.541,5,0.456,1.3
5730.419,0.155,2.03,0.345,0.421,11.047,2666.427,0.312,3.542,0.249,32.517,1209.793,0.193,1.483,6,0.832,1.65
5596.365,0.153,2.03,0.345,0.421,11.047,2657.798,0.312,3.542,0.249,32.518,1211.373,0.192,1.503,6,0.825,1.65
5807.671,0.156,2.021,0.358,0.492,9.878,2408.122,0.31,3.543,0.25,33.79,1218.658,0.188,2.612,2,0.432,1.25
5807.385,0.152,2.021,0.358,0.485,9.905,2698.207,0.31,3.543,0.25,32.78,1213.522,0.191,1.957,3,0.601,1.5
5601.918,0.16,2.021,0.349,0.42,11.119,2657.479,0.313,3.422,0.249,32.432,1223.722,0.184,1.568,7,0.789,1.6
5503.77,0.152,2.054,0.35,0.466,9.882,2689.492,0.312,3.768,0.257,32.462,1296.792,0.135,1.956,6,0.617,1.45
5060.198,0.106,1.094,0.374,0.357,10.844,2624.575,0.316,2.571,0.255,33.178,1227.097,0.453,1.08,10,1.071,1.8
5456.241,0.145,1.989,0.342,0.522,10.03,2674.399,0.301,3.408,0.25,32.07,1200.004,0.2,1.714,4,0.711,1.55
5331.472,0.146,1.07,0.346,0.589,10.024,2655.115,0.308,1.002,0.254,31.908,1206.426,0.714,-4.242,7,0,0
5676.156,0.144,1.966,0.342,0.547,10.028,2625.205,0.288,3.473,0.252,32.585,1360.112,0.094,3.548,5,0.311,0.9
4211.398,0.143,1.052,0.277,0.581,10.234,2667.383,0.301,1.488,0.254,31.914,1201.071,0.575,0.485,9,1.407,1.9
4306.035,0.145,1.949,0.341,0.585,10.03,2655.346,0.301,3.462,0.257,31.706,1200.194,0.258,1.176,5,0.972,1.75
5789.19,0.144,1.969,0.363,0.547,10.03,2633.599,0.299,3.473,0.252,32.585,1356.075,0.096,3.124,4,0.342,0.95
5494.047,0.151,1.985,0.362,0.596,10.713,2655.709,0.308,1.307,0.263,31.849,1216.643,0.627,0.051,8,1.828,2.2
5091.829,0.152,1.966,0.356,0.521,10.001,2655.283,0.309,1.017,0.254,32.313,1316.027,0.709,0.273,5,1.689,2.1
4932.025,0.152,1.965,0.342,0.57,10.028,2626.645,0.317,1.124,0.229,31.712,1201.648,0.679,-1.493,7,0,0
5226.739,0.143,2.07,0.363,0.546,10.273,2619.505,0.301,3.435,0.254,32.564,1352.039,0.099,2.137,6,0.545,1.4
5456.241,0.153,1.983,0.346,0.57,10.03,2659.102,0.301,1.055,0.25,31.797,1218.317,0.699,-2.576,6,0,0
5053.262,0.144,1.07,0.355,0.589,10.704,2622.918,0.308,1.013,0.252,31.948,1206.8,0.711,-4.206,8,0,0
5028.42,0.143,1.072,0.342,0.361,10.028,2626.624,0.299,3.216,0.242,31.727,1207.779,0.464,1.148,8,1.025,1.75
5041.852,0.143,1.072,0.362,0.361,10.028,2617.328,0.299,3.199,0.246,31.727,1207.779,0.464,1.15,7,1.024,1.8
5674.79,0.144,1.114,0.33,0.584,10.032,2634.878,0.308,1.144,0.252,31.736,1226.125,0.673,-1.929,8,0,0
5041.29,0.143,1.05,0.362,0.36,10.028,2617.328,0.299,1.688,0.247,31.727,1207.779,0.518,0.92,7,1.155,1.85
4315.786,0.143,1.949,0.341,0.6,10.03,2655.346,0.301,3.391,0.257,31.705,1200.227,0.256,1.38,5,0.87,1.65
5676.156,0.144,1.969,0.363,0.547,10.03,2633.602,0.299,3.473,0.252,32.585,1356.075,0.096,2.385,5,0.447,1.3
5055.773,0.152,1.967,0.341,0.569,10.03,2625.24,0.287,1.09,0.254,31.712,1201.235,0.689,-2.568,6,0,0
5475.401,0.146,2.025,0.363,0.582,10.113,2657.447,0.317,1.227,0.254,31.733,1318.495,0.649,0.167,6,1.719,2.1
5041.29,0.143,1.05,0.342,0.36,10.028,2617.246,0.299,3.168,0.247,32.623,1207.779,0.475,1.148,7,1.029,1.75
5053.262,0.144,1.07,0.355,0.589,10.704,2623.091,0.317,1.6,0.252,31.948,1206.8,0.543,0.703,8,1.285,1.85
5513.66,0.153,1.087,0.356,0.584,9.982,2633.507,0.309,1.544,0.253,31.908,1207.022,0.559,0.726,7,1.27,1.85
4412.121,0.152,1.166,0.265,0.591,10.005,2621.994,0.293,1.038,0.252,31.952,1215.932,0.703,-3.777,8,0,0
4934.16,0.152,1.966,0.342,0.57,10.028,2625.248,0.288,1.114,0.254,31.712,1206.399,0.682,-1.611,6,0,0
5088.64,0.144,2.05,0.345,0.52,10.033,2623.909,0.317,1.373,0.252,32.609,1201.588,0.608,1.071,5,1.062,1.75
5462.584,0.143,2.029,0.361,0.522,10.104,2633.742,0.312,3.47,0.255,31.736,1282.01,0.145,1.937,4,0.621,1.45
4317.862,0.144,1.07,0.355,0.6,10.103,2620.272,0.317,1.013,0.255,32.052,1200.206,0.711,-4.003,7,0,0
5575.065,0.153,1.437,0.346,0.585,10.03,2666.492,0.3,1.055,0.25,31.801,1218.317,0.699,-3.034,7,0,0
5678.646,0.144,1.42,0.342,0.584,10.133,2648.265,0.299,1.05,0.254,32.066,1221.873,0.7,-3.357,7,0,0
5489.738,0.145,2.034,0.363,0.585,10.006,2633.56,0.317,1.463,0.254,31.733,1216.901,0.582,0.613,6,1.328,1.9
5224.795,0.153,1.45,0.343,0.584,10.01,2607.428,0.287,1.086,0.254,31.91,1316.355,0.69,-2.781,7,0,0
5021.219,0.143,1.967,0.348,0.562,10.03,2632.962,0.3,3.461,0.253,32.31,1253.621,0.164,1.549,5,0.797,1.65
4412.121,0.152,1.166,0.25,0.591,10.005,2621.937,0.293,1.053,0.252,31.729,1215.829,0.699,-3.481,8,0,0
5159,0.144,1.435,0.346,0.584,10.129,2635.589,0.299,1.082,0.255,31.805,1217.734,0.691,-2.944,7,0,0
5456.241,0.145,1.989,0.342,0.522,10.03,2674.399,0.301,3.408,0.25,32.07,1227.719,0.182,1.775,4,0.685,1.55
5226.681,0.143,2.07,0.363,0.557,9.551,2658.397,0.318,3.435,0.254,32.549,1351.31,0.114,1.664,6,0.744,1.6
5255.973,0.143,1.986,0.363,0.511,10.011,2620.19,0.301,3.461,0.251,31.91,1350.66,0.101,2.3,4,0.489,1.35
5454.456,0.145,1.986,0.363,0.511,10.006,2633.866,0.3,3.437,0.254,31.723,1340.711,0.106,2.045,4,0.584,1.4
