max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5800.0,0.15,1.896,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1468.042,0.052,1.901,2.0,0.695,1.45,5.239
5800.0,0.15,1.909,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.045,1.947,1.0,0.681,1.45,5.434
6388.663,0.15,2.0,0.35,0.5,10.0,2315.154,0.3,3.5,0.273,35.5,1500.0,0.101,1.839,3.0,0.715,1.55,5.468
5800.0,0.142,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.053,1.945,1.0,0.679,1.45,5.484
5800.0,0.15,2.0,0.35,0.5,10.0,2423.431,0.331,3.5,0.25,35.5,1500.0,0.103,1.882,2.0,0.696,1.5,5.319
5800.0,0.15,2.0,0.35,0.5,10.349,2346.599,0.3,3.5,0.25,35.131,1500.0,0.035,1.872,3.0,0.7,1.5,5.316
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.104,1500.0,0.011,1.967,1.0,0.662,1.45,5.29
5800.0,0.15,1.874,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.063,1.948,1.0,0.68,1.45,5.435
5800.0,0.158,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.053,1.953,1.0,0.674,1.45,5.474
4837.828,0.162,1.571,0.325,0.5,8.098,2506.212,0.213,1.038,0.221,34.472,1370.68,0.703,0.757,11.0,1.301,1.95,4.265
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.615,0.25,35.5,1500.0,0.033,1.732,1.0,0.752,1.5,5.391
5769.269,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.005,1.778,1.0,0.735,1.5,5.424
5772.812,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.005,1.787,1.0,0.732,1.5,5.169
5800.0,0.15,1.92,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.04,1.781,1.0,0.738,1.5,5.383
5800.0,0.15,2.0,0.35,0.5,10.0,2427.796,0.3,3.5,0.25,35.5,1476.24,0.016,1.752,2.0,0.752,1.5,5.39
5757.307,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.007,1.8,1.0,0.729,1.5,5.323
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.329,3.5,0.242,35.5,1500.0,0.097,1.718,2.0,0.763,1.5,5.374
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.276,3.5,0.25,35.5,1500.0,0.08,1.781,1.0,0.739,1.5,5.338
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.258,35.5,1500.0,0.032,1.816,1.0,0.727,1.5,5.34
5800.0,0.15,1.92,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.04,1.817,1.0,0.725,1.5,5.308
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.385,0.25,35.5,1500.0,0.033,1.821,1.0,0.728,1.5,5.334
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,34.872,1500.0,0.018,1.833,1.0,0.719,1.5,5.414
5800.0,0.15,2.0,0.334,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.046,1.822,1.0,0.722,1.5,5.313
5800.0,0.158,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.053,1.825,1.0,0.724,1.5,5.305
5800.0,0.15,2.0,0.35,0.5,9.841,2404.0,0.3,3.5,0.25,35.5,1500.0,0.016,1.843,1.0,0.717,1.5,5.425
5715.575,0.169,1.337,0.295,0.574,10.385,2519.633,0.354,2.252,0.275,34.926,1235.16,0.357,1.23,12.0,1.004,1.7,4.584
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.241,35.5,1500.0,0.036,1.839,1.0,0.71,1.5,5.297
5800.0,0.142,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.053,1.831,1.0,0.721,1.5,5.327
5800.0,0.15,2.0,0.35,0.5,10.0,2417.232,0.3,3.5,0.25,35.5,1500.0,0.006,1.854,1.0,0.711,1.5,5.357
5800.0,0.15,2.0,0.35,0.524,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.048,1.838,1.0,0.723,1.5,5.363
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.29,1500.0,0.006,1.858,1.0,0.704,1.5,5.241
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.372,0.25,35.5,1500.0,0.037,1.85,1.0,0.711,1.5,5.353
5800.0,0.15,2.0,0.35,0.5,10.162,2404.0,0.3,3.5,0.25,35.5,1500.0,0.016,1.862,1.0,0.704,1.5,5.303
5773.399,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.005,1.875,1.0,0.699,1.5,5.363
5773.278,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.005,1.876,1.0,0.696,1.5,5.302
5715.236,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.242,35.5,1500.0,0.032,1.822,2.0,0.719,1.5,5.32
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.2,1500.0,0.008,1.878,1.0,0.699,1.5,5.39
5800.0,0.15,2.0,0.366,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.046,1.867,1.0,0.704,1.5,5.38
5800.0,0.15,2.0,0.35,0.5,10.0,2391.119,0.3,3.5,0.25,35.5,1500.0,0.005,1.906,1.0,0.687,1.45,5.384
5800.0,0.141,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.261,35.5,1513.677,0.06,1.798,3.0,0.734,1.5,5.282
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.276,3.5,0.25,35.5,1500.0,0.08,1.883,1.0,0.692,1.5,5.277
5800.0,0.15,2.0,0.35,0.5,10.227,2404.0,0.3,3.5,0.25,35.086,1500.0,0.023,1.874,2.0,0.703,1.5,5.39
5800.0,0.15,1.918,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.041,1.911,1.0,0.688,1.45,5.29
5800.0,0.15,2.0,0.35,0.475,10.0,2404.0,0.3,3.5,0.25,35.5,1479.138,0.05,1.867,2.0,0.704,1.5,5.403
5800.0,0.17,2.0,0.35,0.5,10.0,2404.0,0.3,3.209,0.25,35.5,1500.0,0.133,1.832,2.0,0.713,1.5,5.427
5800.0,0.15,1.92,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.04,1.917,1.0,0.683,1.45,5.273
6424.025,0.161,1.2,0.325,0.5,10.0,2404.0,0.37,3.5,0.25,32.241,1500.0,0.4,1.549,6.0,0.833,1.55,5.168
