max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5783.417,0.139,1.576,0.322,0.371,10.442,2698.7,0.289,3.564,0.246,35.939,1219.212,0.258,0.89,8,1.152,1.75
5254.51,0.139,1.628,0.322,0.494,10.448,2697.515,0.304,3.5,0.246,35.598,1216.66,0.189,1.106,7,1.057,1.75
5793.549,0.143,1.857,0.345,0.494,10.448,2451.212,0.303,3.392,0.243,35.597,1504.783,0.072,1.662,3,0.779,1.55
4371.267,0.141,1.594,0.317,0.48,10.454,2696.492,0.311,3.392,0.243,32.702,1224.529,0.246,0.935,8,1.14,1.8
5796.585,0.143,1.453,0.351,0.477,10.002,2674.705,0.288,3.393,0.255,35.46,1200.705,0.273,1.189,3,1.01,1.7
5326.589,0.139,1.77,0.32,0.501,9.93,2690.912,0.314,3.5,0.248,32.554,1321.228,0.119,1.328,7,0.925,1.65
4757.416,0.154,2.004,0.356,0.518,8.808,2674.425,0.293,3.497,0.243,32.538,1228.394,0.181,1.124,5,1.027,1.7
5389.873,0.144,1.924,0.35,0.5,11.876,2686.664,0.298,1.092,0.25,31.801,1208.74,0.688,-1.816,6,1.702,1.9
5463.196,0.185,1.171,0.307,0.499,11.935,2668.249,0.315,1.151,0.213,32.922,1216.026,0.671,-3.288,10,0,0
5471.512,0.155,1.967,0.35,0.453,10.84,2633.43,0.279,3.497,0.239,32.286,1353.237,0.098,1.242,7,0.96,1.7
5392.033,0.148,1.646,0.351,0.387,11.88,2691.637,0.295,2.823,0.241,32.231,1208.243,0.226,0.727,9,1.242,1.85
5471.512,0.141,1.968,0.31,0.447,10.723,2641.559,0.293,3.498,0.249,33.088,1347.494,0.114,1.102,8,1.031,1.75
5393.284,0.144,1.428,0.286,0.484,11.87,2684.946,0.276,3.064,0.243,32.537,1207.83,0.286,0.505,9,1.534,2.2
5466.077,0.144,1.464,0.35,0.475,11.865,2684.573,0.277,3.517,0.248,31.818,1216.361,0.268,0.691,7,1.307,2.05
5267.233,0.144,1.425,0.286,0.484,11.87,2684.947,0.277,3.064,0.244,32.537,1207.83,0.287,0.318,8,1.747,2.25
5463.196,0.156,1.631,0.352,0.454,11.935,2679.757,0.331,3.076,0.221,32.76,1216.037,0.194,0.752,10,1.235,1.85
5370.332,0.152,1.965,0.347,0.498,10.838,2583.641,0.282,3.492,0.25,32.529,1360.288,0.093,1.257,5,0.952,1.65
5147.564,0.144,1.425,0.351,0.478,11.856,2685.901,0.293,3.478,0.245,32.543,1208.114,0.287,0.84,6,1.2,1.8
5389.758,0.144,1.924,0.35,0.519,11.839,2686.664,0.298,1.1,0.25,31.801,1208.193,0.686,-0.001,6,1.583,1.9
4757.416,0.154,2.004,0.365,0.5,8.737,2648.441,0.293,3.497,0.243,32.506,1246.479,0.18,1.187,5,0.992,1.7
5384.606,0.144,1.018,0.349,0.477,11.93,2685.597,0.315,1.587,0.255,31.734,1213.444,0.547,-2.684,7,0,0
5410.42,0.175,1.633,0.295,0.476,10.991,2676.824,0.331,3.035,0.214,32.289,1228.354,0.183,0.776,12,1.232,1.85
5422.771,0.153,1.002,0.35,0.489,11.867,2685.597,0.281,1.749,0.248,31.804,1208.095,0.5,-2.026,7,0,0
5410.222,0.153,1.968,0.343,0.478,11.723,2685.827,0.278,3.035,0.214,32.289,1228.328,0.181,1.055,7,1.068,1.75
5267.77,0.144,1.246,0.351,0.478,11.816,2684.979,0.293,3.478,0.244,32.543,1208.114,0.377,0.709,6,1.302,2
4477.941,0.154,2.007,0.35,0.489,11.925,2685.597,0.279,1.28,0.248,31.892,1246.93,0.634,0.286,6,1.465,1.9
