max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
4922.911,0.122,2.115,0.398,0.513,11.469,2598.061,0.249,2.808,0.267,35.605,1294.954,0.198,1.643,10,0.776,1.6
6340.656,0.153,1.541,0.365,0.471,11.76,2333.136,0.232,3.793,0.256,33.817,1312.919,0.23,1.628,9,0.809,1.6
4384.47,0.2,1.259,0.376,0.398,11.131,2429.221,0.277,1.877,0.244,33.407,1202.747,0.464,0.838,10,1.181,1.85
6749.499,0.163,1.711,0.312,0.496,11.601,2306.033,0.308,3.605,0.288,32.199,1420.834,0.164,1.846,9,0.694,1.5
6527.684,0.156,2.137,0.306,0.543,10.659,2528.447,0.261,3.664,0.266,33.364,1312.024,0.13,2.08,11,0.604,1.45
6767.29,0.122,1.64,0.353,0.539,10.775,2121.983,0.315,3.889,0.244,36.329,1347.32,0.187,1.782,9,0.772,1.55
4503.676,0.152,1.112,0.245,0.338,9.277,2659.929,0.331,1.051,0.257,36,1415.232,0.7,0.548,10,1.471,2.05
6462.125,0.155,1.738,0.361,0.424,11.119,2482.835,0.276,2.917,0.273,35.751,1319.818,0.167,1.712,10,0.783,1.55
6214.2,0.17,1.423,0.349,0.493,10.949,2594.26,0.309,3.727,0.286,33.75,1315.972,0.288,1.283,9,0.951,1.65
4360.87,0.136,1.507,0.325,0.505,11.657,2522.333,0.235,2.83,0.252,32.533,1305.15,0.248,1.034,10,1.083,1.75
4313.537,0.102,1.009,0.317,0.387,9.073,2656.258,0.331,2.513,0.238,31.726,1247.428,0.496,0.789,12,1.229,1.8
4440.652,0.181,1.127,0.286,0.557,10.687,2693.786,0.471,1.787,0.292,31.751,1291.866,0.57,0.213,12,1.806,2.25
5283.608,0.145,1.872,0.362,0.534,11.494,2571.563,0.298,3.399,0.236,35.428,1203.798,0.197,1.763,7,0.741,1.55
5977.184,0.141,1.735,0.358,0.432,10.98,2649.254,0.322,3,0.258,31.893,1325.16,0.143,1.727,10,0.738,1.55
4939.071,0.2,1.404,0.209,0.41,11.348,2693.846,0.249,3.374,0.284,34.844,1252.559,0.403,0.954,12,1.134,1.85
4887.445,0.168,1.217,0.252,0.48,8.203,2419.263,0.329,3.207,0.262,32.129,1238.929,0.391,0.938,11,1.152,1.8
4615.919,0.143,2.012,0.32,0.329,11.472,2512.184,0.306,3.461,0.246,34.992,1373.79,0.342,2.209,7,0.577,1.4
4506.571,0.157,1.956,0.344,0.369,9.005,2397.352,0.365,1.397,0.293,35.367,1550.083,0.601,2.009,7,0.655,1.4
5468.568,0.144,2.303,0.34,0.551,8.589,2291.351,0.343,3.878,0.231,35.511,1359.952,0.151,2.181,9,0.596,1.45
5447.331,0.113,1.028,0.383,0.459,11.822,2298.997,0.302,1.335,0.246,33.215,1246.117,0.619,0.895,10,1.196,1.8
6512.989,0.146,1.924,0.368,0.598,9.698,2409.154,0.32,2.762,0.244,36.23,1509.562,0.211,2.228,7,0.582,1.35
5381.608,0.178,1.756,0.339,0.55,11.599,2672.848,0.292,3.13,0.21,32.623,1227.579,0.187,1.125,10,1.04,1.75
6881.374,0.197,1.372,0.228,0.382,8.334,2629.414,0.383,1.351,0.3,33.524,1291.871,0.614,0.841,12,1.199,1.85
6693.848,0.119,2.019,0.346,0.451,10.81,2418.497,0.28,3.631,0.246,36.181,1293.895,0.207,1.595,8,0.819,1.6
4253.284,0.133,1.589,0.263,0.523,11.433,2321.919,0.285,3.764,0.248,36.276,1272.445,0.267,1.365,9,0.922,1.7
5045.93,0.134,1.228,0.25,0.486,8.204,2089.235,0.482,1.04,0.241,34.501,1311.769,0.703,0.179,11,1.859,2.15
5107.434,0.162,2.306,0.376,0.504,10.917,2526.409,0.297,3.366,0.249,32.998,1369.084,0.153,1.926,9,0.652,1.45
6146.056,0.155,2.222,0.365,0.456,9.058,2698.272,0.306,3.575,0.219,34.288,1580.847,0.124,2.329,8,0.536,1.35
4879.605,0.197,1.552,0.249,0.407,8.699,2562.753,0.206,2.776,0.255,33.518,1271.884,0.313,1.094,11,1.051,1.75
5849.035,0.166,1.507,0.348,0.506,10.316,2503.408,0.324,2.878,0.252,31.89,1202.554,0.247,1.428,9,0.877,1.65
5250.518,0.176,2.055,0.362,0.569,11.468,2513.897,0.34,3.468,0.247,31.995,1336.246,0.173,1.712,8,0.74,1.55
5780.843,0.171,1.539,0.218,0.413,9.921,2404.65,0.442,2.289,0.256,35.485,1593.204,0.473,2.201,7,0.605,1.4
4396.674,0.14,2.066,0.363,0.463,11.294,2417.661,0.295,3.433,0.239,35.457,1506.877,0.242,2.317,6,0.547,1.4
6838.21,0.105,1.203,0.22,0.3,8.365,2512.948,0.354,1.274,0.299,32.801,1347.346,0.636,0.604,12,1.326,1.8
5192.305,0.162,1.299,0.269,0.512,9.788,2657.43,0.279,1.483,0.244,32.389,1411.513,0.576,0.988,9,1.122,1.7
5714.225,0.153,1.067,0.202,0.562,11.062,2053.906,0.412,1.005,0.29,34.834,1301.076,0.713,-2.256,11,0,0
5206.577,0.11,1.008,0.288,0.491,8.689,2122.875,0.362,1.268,0.276,36.388,1577.888,0.638,0.489,11,1.364,1.75
6810.28,0.15,1.041,0.3,0.475,9.746,2521.936,0.28,1.676,0.268,31.853,1433.659,0.521,1.097,10,1.058,1.7
4316.969,0.149,1.376,0.336,0.395,10.078,2684.97,0.281,1.135,0.248,35.457,1352.831,0.676,1.021,6,1.067,1.6
5486.371,0.15,1.436,0.22,0.5,9.487,2565.84,0.222,3.527,0.282,31.784,1216.265,0.371,1.356,9,0.918,1.75
4973.601,0.134,1.123,0.384,0.506,10.649,2402.635,0.423,1.21,0.227,34.617,1414.419,0.654,0.347,10,1.748,2.3
5370.092,0.144,1.152,0.207,0.515,10.404,2276.433,0.321,3.437,0.24,32.042,1354.557,0.424,1.148,8,1.046,1.7
4394.348,0.177,1.28,0.261,0.409,11.143,2501.838,0.215,3.59,0.237,36.316,1260.901,0.36,0.946,11,1.136,1.8
5608.259,0.132,2.05,0.348,0.507,10.516,2420.89,0.292,3.501,0.269,33.171,1267.396,0.155,1.767,7,0.711,1.6
6749.103,0.112,1.063,0.256,0.394,10.931,2494.186,0.449,1.283,0.259,31.858,1265.891,0.633,0.619,12,1.341,1.85
